,Code,Intervention,LIC.original.UC,LIC.PIN,LIC.Coverage,LMIC.original.UC,LMIC.PIN,LMIC.Coverage,LIC.PIN.million,LMIC.PIN.million,Unit Cost,UC Source(s),PIN,PIN Source(s),Coverage,Coverage Source(s)
1,C1,Antenatal and postpartum education on family planning,17.535,40367692,0.39,17.535,85725346,0.5,40.367692,85.725346,Face-to-face counseling: Average of Table 2 costs for ANC (12.42 BDT) and PNC (22.65 BDT),https://resource-allocation.biomedcentral.com/articles/10.1186/1478-7547-11-28,"Table 5: Incidence of pregnancy (Guttmacher ""Adding it up"" report 2014)",https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology,"Table 22: ANC4 (% with 4+ visits) (Guttmacher ""Adding it up"" report 2014)",https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology
2,C10,Education on handwashing and safe disposal of children's stools,7.3,28199878,0.3822,7.3,58334371,0.4869,28.199878,58.334371,"For all the households who began washing their hands with soap, the total cost of associated supplies for the full programme (pilot year plus 3?year implementation) amounted to $160,125 or an average of $7.3 per household per year. ",https://www.ncbi.nlm.nih.gov/pubmed/12390603,"Table 23: Number of live births (Guttmacher ""Adding it up"" report 2014)",https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology,Countdown to 2015 report: sanitation,http://countdown2030.org/2015/countdown-data
3,C11,Pneumococcus vaccination,10.5,28199878,0.70706,10.5,58334371,0.72507,28.199878,58.334371,GAVI prices (3 doses * $3.50 per dose),https://www.unicef.org/supply/index_57476.html,"Table 23: Number of live births (Guttmacher ""Adding it up"" report 2014)",https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology,Countdown to 2015 report,http://countdown2030.org/2015/countdown-data
4,C12,Rotavirus vaccination,10.5,28199878,0.58822,10.5,58334371,0.54339,28.199878,58.334371,GAVI prices (3 doses * $3.50 per dose),https://www.unicef.org/supply/index_57476.html,"Table 23: Number of live births (Guttmacher ""Adding it up"" report 2014)",https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology,Countdown to 2015 report,http://countdown2030.org/2015/countdown-data
5,C13,Provision of cotrimoxazole to children born to HIV-positive mothers,20.91,416192,0.7489,20.91,342700,0.4849,0.416192,0.3427,"Table 3: Cost of national inpatient and outpatient care including drugs and investigation (Table 3).
Not sure how this was calculated. Going to guess its some sort of average of inpatient vs. outpatient services.",http://journals.lww.com/aidsonline/Abstract/2008/03300/The_cost_effectiveness_of_cotrimoxazole.10.aspx,HIV prevalence among children under 5 (GBD 2016),http://ghdx.healthdata.org/gbd-2016,Countdown to 2015 report: PMTCT ,http://countdown2030.org/2015/countdown-data
6,C14.1,"Provision of vitamin A and zinc supplementation to children according to WHO guidelines, and provision of food supplementation to women and children in food insecure households",0.15,128473703,0.84,0.15,290973271,0.65,128.473703,290.973271,Vitamin A cost per capita per year + Zinc cost per capita per year (Table 3). Assuming Afre region ~ LIC,https://www.bmj.com/content/331/7526/1177,Population under 5 (GBD 2016),http://ghdx.healthdata.org/gbd-2016,Countdown to 2015 report,http://countdown2030.org/2015/countdown-data
7,C14.2,"Provision of vitamin A and zinc supplementation to children according to WHO guidelines, and provision of food supplementation to women and children in food insecure households",6.04,27750319.85,0,6.04,69949974.35,0,27.75031985,69.94997435,Cost per actually covered beneficiary,https://journals.sagepub.com/doi/pdf/10.1177/15648265060274S406,Proportion underweight (Countdown to 2015 report),http://countdown2030.org/2015/countdown-data,Countdown to 2015 report,http://countdown2030.org/2015/countdown-data
8,C15,Mass social marketing of insecticide treated nets,0.4033,862847277.1,0.19,0.4033,2377100784,0.49,862.8472771,2377.100784,Social Marketing annual economic cost per capita (table 3 total cost/table 4 total pop)  from a Tanzania study ,http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862003000400008,Total population in high-tranmission countries (GBD 2016),http://ghdx.healthdata.org/gbd-2016,WHO malaria report 2015: (p. 41),https://www.who.int/malaria/publications/world-malaria-report-2015/report/en/
9,C16.1,"Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",0.1,28199878,0.83,0.1,58334371,0.84,28.199878,58.334371,BCG UNICEF Gavi Price 2016 mean Price (in 20 dose),https://www.unicef.org/supply/index_57476.html,"Table 23: Number of live births (Guttmacher ""Adding it up"" report 2014)",https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology,WHO Immunization coverage estimates by World Bank Income Group,http://apps.who.int/gho/data/view.main.81500WB
10,C16.2,"Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",0.29,28199878,0.8,0.29,58334371,0.82,28.199878,58.334371,"OPV UNICEF Gavi Price 2016 mean Price (times 2 doses) 
",https://www.unicef.org/supply/index_57476.html,"Table 23: Number of live births (Guttmacher ""Adding it up"" report 2014)",https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology,WHO Immunization coverage estimates by World Bank Income Group,http://apps.who.int/gho/data/view.main.81605WB
11,C16.3,"Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",0.36,27014418,0.59,0.49,59505746,0.54,27.014418,59.505746,Nurse cost (5 minues) * 5,"Serje J. 2015. “Estimates of Health Sector Salaries across Four Occupational Levels for UN Member States.” Unpublished, WHO, Geneva.",Children age 0-1 (GBD 2016),http://ghdx.healthdata.org/gbd-2016,Use Pneumococcus vaccination coverage as proxy,http://countdown2030.org/2015/countdown-data
12,C16.4,"Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",6.1,28199878,0.8,6.1,58334371,0.81,28.199878,58.334371,DTP-HepB-Hib (Penta) Gavi Price 2016 mean (times 3),https://www.unicef.org/supply/index_57476.html,"Table 23: Number of live births (Guttmacher ""Adding it up"" report 2014)",https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology,WHO Immunization coverage estimates by World Bank Income Group,http://apps.who.int/gho/data/view.main.81200WB?lang=en
13,C16.5,"Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",0.34,28199878,0.78,0.34,58334371,0.8,28.199878,58.334371,Measles UNICEF Gavi Price 2016 mean Price (per dose) ,https://www.unicef.org/supply/index_57476.html,"Table 23: Number of live births (Guttmacher ""Adding it up"" report 2014)",https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology,WHO Immunization coverage estimates by World Bank Income Group,http://apps.who.int/gho/data/view.main.81100WB?lang=en
14,C16.6,"Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",0.1,28199878,0.71,0.1,58334371,0.73,28.199878,58.334371,Rubella vaccination price calculated by MMR minus MR 2016 mean GAVI Price,https://www.unicef.org/supply/index_57476.html,"Table 23: Number of live births (Guttmacher ""Adding it up"" report 2014)",https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology,Use DPT coverage as proxy,http://apps.who.int/gho/data/view.main.81100WB?lang=en
15,C16.7,"Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",0.75,25364821,0.8,0.78,57866881,0.81,25.364821,57.866881,"Boosters of DPT, OPV, and measles",https://www.unicef.org/supply/index_57476.html,Children age 1 year old (GBD 2016),http://ghdx.healthdata.org/gbd-2016,Use DPT coverage as proxy,http://apps.who.int/gho/data/view.main.81100WB?lang=en
16,C16.8,"Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",0.27,23307013,0.8,0.3,55016713,0.81,23.307013,55.016713,Booster of DPT,https://www.unicef.org/supply/index_57476.html,Children age 5 years old (GBD 2016),http://ghdx.healthdata.org/gbd-2016,Use DPT coverage as proxy,http://apps.who.int/gho/data/view.main.81100WB?lang=en
17,C17,"In high malaria transmission settings, indoor residual spraying (IRS) in selected areas with high transmission and entomologic data on IRS suspectibility",0.73,862847277.1,0.59,0.73,2377100784,0.5,862.8472771,2377.100784,Table 3 economic cost per unit (IRS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4188563/,Total population in high-tranmission countries (GBD 2016),http://ghdx.healthdata.org/gbd-2016,WHO malaria report 2015: (p. 41),https://www.who.int/malaria/publications/world-malaria-report-2015/report/en/
18,C18,Education of schoolchildren on oral health,0.63,125725951,0.33,0.66,331516343,0.33,125.725951,331.516343,DCP3 volume 8 package costs,NA,School-age (ages 6-12) population (GBD 2016) times the proportion attending primary school (World Bank),"http://ghdx.healthdata.org/gbd-2016
https://data.worldbank.org/indicator/SE.PRM.TENR",Expert opinion,NA
19,C19,Vision prescreening by teachers; vision tests and provision of ready-made glasses on-site by eye specialists,0.75,125725951,0.33,0.79,331516343,0.33,125.725951,331.516343,DCP3 volume 8 package costs,NA,School-age (ages 6-12) population (GBD 2016) times the proportion attending primary school (World Bank),"http://ghdx.healthdata.org/gbd-2016
https://data.worldbank.org/indicator/SE.PRM.TENR",Expert opinion,NA
20,C2,Counseling of mothers on providing thermal care for preterm newborns (delayed bath and skin-to-skin contact),8.38,2413827,0.2734,8.38,3156179,0.3755,2.413827,3.156179,"Face-to-face counseling without media: Average of counselling during pregnancy detection (3.08 BDT), during pregnancy confirmation (3.11 BDT), and during delivery care (18.96 BDT)",https://resource-allocation.biomedcentral.com/articles/10.1186/1478-7547-11-28,"Table 5: Incidence of pregnancy minus Table 6: number of women who had miscarriage minus Table 6: Number of women who had indiced abortion (Guttmacher ""Adding it up"" report 2014) times the proportion (0.113) preterm births 28-36 weeks (literature)","https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology
http://www.sciencedirect.com/science/article/pii/S0140673612608204",Countdown to 2015 report: postnatal care for babies,http://countdown2030.org/2015/countdown-data
