"","Code","Intervention","Platform","HPP","Urgency","Objective","Original Unit Cost","Original Currency","Year","Country","Base population","Multiplier","Multiplier type","Multiplier2","Multiplier2 type","Multipliers","PIN","Coverage","Target Coverage","ID","exchange","country","year","n","cpi_study","cpi_end","cpi_adjust","global_inflation","exchange_end","gni","gni_selected_country","gni_adjust","tradable_uc","nontradable_uc","adjusted_uc"
"1","C1","Antenatal and postpartum education on family planning","Community",0,"Time-bound (non-urgent)","Non-health outcomes","17.535","BDT","2011.0","Bangladesh","4.0367692E7","1.0","Fertility, LI","1.0","NA","Fertility","40367692","0.39","0.8",1,74.1524,"Bangladesh","2011.0",53,111.39516515524,152.529140322278,1.36926176382713,1.17315521153989,78.4680916666667,1287.265014,794.4947062,0.617195913474892,0.0832256675482602,0.132196586791316,0.215422254339576
"2","C10","Education on handwashing and safe disposal of children's stools","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","1.45","USD","1999.0","Burkina Faso","2.8199878E7","1.0","Fertility, LI","1.0","NA","Fertility","28199878","0.3822","0.8",2,615.699131973806,"Burkina Faso","1999.0",41,75.1438395576924,107.733167082294,1.43369260496173,1.87791667591526,593.008170424934,628.457986,794.4947062,1.26419700902647,0.816893754023138,1.91004988585431,2.72694363987745
"3","C11","Pneumococcus vaccination","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","10.5","USD","2016.0","LIC","2.8199878E7","1.0","Fertility, LI","1.0","NA","Fertility","28199878","0.70706","0.8",3,593.0081704,"LIC","2016.0",58,161.750026041123,161.750026041123,1,1.0141193915479,593.0081704,794.4947062,794.4947062,1,10.648253611253,0,10.648253611253
"4","C12","Rotavirus vaccination","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","10.5","USD","2016.0","LIC","2.8199878E7","1.0","Fertility, LI","1.0","NA","Fertility","28199878","0.58822","0.8",4,593.0081704,"LIC","2016.0",58,161.750026041123,161.750026041123,1,1.0141193915479,593.0081704,794.4947062,794.4947062,1,10.648253611253,0,10.648253611253
"5","C13","Provision of cotrimoxazole to children born to HIV-positive mothers","Health center",1,"Time-bound (non-urgent)","Mortality reduction; under-5","9.14","USD","2006.0","Zambia","416192.0","1.0","NA","1.0","NA","None","416192","0.7489","0.8",5,3.60307204258249,"Zambia","2006.0",48,65.3199255059111,169.781989060935,2.59923733448794,1.48518345750596,10.313053230894,1862.341735,794.4947062,0.42661058991947,4.07237304048133,2.47860596504001,6.55097900552134
"6","C14.1","Provision of vitamin A and zinc supplementation to children according to WHO guidelines, and provision of food supplementation to women and children in food insecure households","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.15","PPP","2000.0","LIC","1.28473703E8","1.0","NA","1.0","NA","None","128473703","0.84","0.8",6,549.95209685,"LIC","2000.0",42,47.4002428787547,161.750026041123,3.41243032139865,1.82181393180112,593.0081704,794.4947062,794.4947062,1,0.000149070487049003,0.000604216268226409,0.000753286755275412
"7","C14.2","Provision of vitamin A and zinc supplementation to children according to WHO guidelines, and provision of food supplementation to women and children in food insecure households","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","6.04","USD","2005.0","Peru","1.28473703E8","0.216","Prop underweight","1.0","NA","Population","27750319.85","0.0","0.8",7,3.29584166666667,"Peru","2005.0",47,87.1253772370504,121.99696310584,1.40024602446095,1.54597918198005,3.37506158720665,6567.73998,794.4947062,0.12096926927975,2.80131427774785,0.699357154258744,3.50067143200659
"8","C15","Mass social marketing of insecticide treated nets","Community",0,"Time-bound (non-urgent)","Mortality reduction; under-5","0.4033","USD","2012.0","Tanzania","8.965074378E8","0.96245412","Malaria endemic","1.0","NA","Population","862847277.1","0.19","0.8",8,1571.69799856913,"Tanzania","2012.0",54,130.722757255987,166.198224024889,1.27137942553822,1.1191837358014,2177.08595381578,1030.71271,794.4947062,0.770820713174285,0.135410040194612,0.199732317750445,0.335142357945057
"9","C16.1","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.1","USD","2016.0","LIC","2.8199878E7","1.0","Fertility, LI","1.0","NA","Fertility","28199878","0.83","0.8",9,593.0081704,"LIC","2016.0",58,161.750026041123,161.750026041123,1,1.0141193915479,593.0081704,794.4947062,794.4947062,1,0.10141193915479,0,0.10141193915479
"10","C16.2","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.29","USD","2016.0","LIC","2.8199878E7","1.0","Fertility, LI","1.0","NA","Fertility","28199878","0.8","0.8",10,593.0081704,"LIC","2016.0",58,161.750026041123,161.750026041123,1,1.0141193915479,593.0081704,794.4947062,794.4947062,1,0.294094623548891,0,0.294094623548891
"11","C16.3","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.36","USD","2016.0","LIC","2.7014418E7","1.0","Fertility, LI","1.0","NA","Fertility","27014418","0.59","0.8",11,593.0081704,"LIC","2016.0",58,161.750026041123,161.750026041123,1,1.0141193915479,593.0081704,794.4947062,794.4947062,1,0.365082980957245,0,0.365082980957245
"12","C16.4","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","6.1","USD","2016.0","LIC","2.8199878E7","1.0","Fertility, LI","1.0","NA","Fertility","28199878","0.8","0.8",12,593.0081704,"LIC","2016.0",58,161.750026041123,161.750026041123,1,1.0141193915479,593.0081704,794.4947062,794.4947062,1,6.1861282884422,0,6.1861282884422
"13","C16.5","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.34","USD","2016.0","LIC","2.8199878E7","1.0","Fertility, LI","1.0","NA","Fertility","28199878","0.78","0.8",13,593.0081704,"LIC","2016.0",58,161.750026041123,161.750026041123,1,1.0141193915479,593.0081704,794.4947062,794.4947062,1,0.344800593126287,0,0.344800593126287
"14","C16.6","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.1","USD","2016.0","LIC","2.8199878E7","1.0","Fertility, LI","1.0","NA","Fertility","28199878","0.71","0.8",14,593.0081704,"LIC","2016.0",58,161.750026041123,161.750026041123,1,1.0141193915479,593.0081704,794.4947062,794.4947062,1,0.10141193915479,0,0.10141193915479
"15","C16.7","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.75","USD","2016.0","LIC","2.5364821E7","1.0","NA","1.0","NA","None","25364821","0.8","0.8",15,593.0081704,"LIC","2016.0",58,161.750026041123,161.750026041123,1,1.0141193915479,593.0081704,794.4947062,794.4947062,1,0.760589543660926,0,0.760589543660926
"16","C16.8","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.27","USD","2016.0","LIC","2.3307013E7","1.0","NA","1.0","NA","None","23307013","0.8","0.8",16,593.0081704,"LIC","2016.0",58,161.750026041123,161.750026041123,1,1.0141193915479,593.0081704,794.4947062,794.4947062,1,0.273812235717933,0,0.273812235717933
"17","C17","In high malaria transmission settings, indoor residual spraying (IRS) in selected areas with high transmission and entomologic data on IRS suspectibility","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.73","USD","2012.0","Kenya","8.965074378E8","0.96245412","Malaria endemic","1.0","NA","Population","862847277.1","0.59","0.8",17,84.5296017573529,"Kenya","2012.0",54,124.715258324443,159.647316938312,1.28009450554153,1.1191837358014,101.504369498594,1371.233332,794.4947062,0.579401541414689,0.245101238140507,0.315621562047155,0.560722800187662
"18","C18","Education of schoolchildren on oral health","Community",0,"Time-bound (non-urgent)","Reduction in disability","0.63","USD","2016.0","LIC","157059276.7","0.8005","Primary school","1.0","NA","Population","1.25725951E8","0.33","0.8",18,593.0081704,"LIC","2016.0",58,161.750026041123,161.750026041123,1,1.0141193915479,593.0081704,794.4947062,794.4947062,1,0.191668565002553,0.441,0.632668565002553
"19","C19","Vision prescreening by teachers; vision tests and provision of ready-made glasses on-site by eye specialists","Community",0,"Time-bound (non-urgent)","Reduction in disability","0.75","USD","2016.0","LIC","157059276.7","0.8005","Primary school","1.0","NA","Population","1.25725951E8","0.33","0.8",19,593.0081704,"LIC","2016.0",58,161.750026041123,161.750026041123,1,1.0141193915479,593.0081704,794.4947062,794.4947062,1,0.228176863098278,0.525,0.753176863098278
"20","C2","Counseling of mothers on providing thermal care for preterm newborns (delayed bath and skin-to-skin contact)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","8.38","BDT","2011.0","Bangladesh","2413827.0","1.0","Fertility, LI","1.0","NA","Fertility","2413827.0","0.2734","0.8",20,74.1524,"Bangladesh","2011.0",53,111.39516515524,152.529140322278,1.36926176382713,1.17315521153989,78.4680916666667,1287.265014,794.4947062,0.617195913474892,0.0397736580584215,0.063176925994367,0.102950584052788
"21","C20","School-based education on sexual health, nutrition, and healthy lifestyle","Community",1,"Time-bound (non-urgent)","Reduction in disability","3.76","USD","2016.0","LIC","200985059.1","0.31464","Secondary school","1.0","NA","Population","6.3237939E7","0.33","0.8",21,593.0081704,"LIC","2016.0",58,161.750026041123,161.750026041123,1,1.0141193915479,593.0081704,794.4947062,794.4947062,1,1.14392667366603,2.632,3.77592667366603
"22","C21.1","Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections","Community",1,"Time-bound (non-urgent)","Reduction in disability","0.4","USD","2012.0","India","2.77383324E8","1.0","NA","1.0","NA","None","277383324","0.77","0.8",22,53.4372333333333,"India","2012.0",54,118.995736617717,155.94504973946,1.31050955414012,1.1191837358014,67.1953128073894,1679.056423,794.4947062,0.47317927814508,0.134302048296168,0.138079410748825,0.272381459044994
"23","C21.2","Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections","Community",1,"Time-bound (non-urgent)","Reduction in disability","0.41536","USD","2012.0","Ghana","9.5031139E7","1.0","NA","1.0","NA","None","95031139","0.78","0.8",23,1.79581666666667,"Ghana","2012.0",54,116.475091832939,206.685516654195,1.7745040025437,1.1191837358014,3.9098,2302.11084,794.4947062,0.345115748727372,0.139459246950741,0.0817846741396303,0.221243921090372
"24","C21.3","Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections","Community",1,"Time-bound (non-urgent)","Reduction in disability","0.53","USD","2014.0","Cote d'Ivoire","1.32632285E8","1.0","NA","1.0","NA","None","132632285","0.52","0.8",24,494.414952864937,"Cote d'Ivoire","2014.0",56,109.513495413213,111.685945921178,1.01983728580453,1.05138798142095,593.008170424934,1490.703041,794.4947062,0.532966448949506,0.167170689045931,0.168126273026025,0.335296962071955
"25","C21.4","Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections","Community",1,"Time-bound (non-urgent)","Reduction in disability","1.71","USD","2014.0","Cote d'Ivoire","2.93848855E8","1.0","NA","1.0","NA","None","293848855","0.0","0.8",25,494.414952864937,"Cote d'Ivoire","2014.0",56,109.513495413213,111.685945921178,1.01983728580453,1.05138798142095,593.008170424934,1490.703041,794.4947062,0.532966448949506,0.539362034468946,0.54244514504623,1.08180717951518
"26","C21.5","Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections","Community",1,"Time-bound (non-urgent)","Reduction in disability","0.62","USD","2012.0","India","1.41276903E8","1.0","NA","1.0","NA","None","141276903","0.75","0.8",26,53.4372333333333,"India","2012.0",54,118.995736617717,155.94504973946,1.31050955414012,1.1191837358014,67.1953128073894,1679.056423,794.4947062,0.47317927814508,0.208168174859061,0.214023086660679,0.42219126151974
"27","C22","School based HPV vaccination for girls","Community",0,"Time-bound (non-urgent)","Mortality reduction: age 5+; group II-III causes","9.14","USD","2016.0","LIC","8429081.0","1.0","NA","1.0","NA","None","8429081","0.0","0.8",27,593.0081704,"LIC","2016.0",58,161.750026041123,161.750026041123,1,1.0141193915479,593.0081704,794.4947062,794.4947062,1,2.78071537162435,6.398,9.17871537162435
"28","C23","Adolescent-friendly health services including: provision of condoms to prevent STIs; provision of reversible contraception; treatment of injury in general and abuse in particular; and screening and treatment for STIs","Community",0,"Time-bound (non-urgent)","Reduction in disability","5.22","USD","2016.0","LIC","200985058","0.5","Attending health facilities","1.0","NA","Population","1.00492529E8","0.3333333333","0.8",28,593.0081704,"LIC","2016.0",58,161.750026041123,161.750026041123,1,1.0141193915479,593.0081704,794.4947062,794.4947062,1,1.58811096716401,3.654,5.24211096716401
"29","C24","Life skills training in schools to build social and emotional competencies","Community",0,"Time-bound (non-urgent)","Non-health outcomes","3.76","USD","2016.0","LIC","200985059.1","0.31464","Secondary school","1.0","NA","Population","6.3237939E7","0.3333333333","0.8",29,593.0081704,"LIC","2016.0",58,161.750026041123,161.750026041123,1,1.0141193915479,593.0081704,794.4947062,794.4947062,1,1.14392667366603,2.632,3.77592667366603
"30","C25","Education campaigns for the prevention of gender-based violence","Community",0,"Time-bound (non-urgent)","Reduction in disability","15.35","BDT","2011.0","Bangladesh","4.4339054E7","1.0","NA","1.0","NA","None","4.4339054E7","0.39","0.8",30,74.1524,"Bangladesh","2011.0",53,111.39516515524,152.529140322278,1.36926176382713,1.17315521153989,78.4680916666667,1287.265014,794.4947062,0.617195913474892,0.0728550896416193,0.11572384415436,0.188578933795979
"31","C26","In countries where it is a public health concern, prevention of FGM (may be for daughters of women of reproductive age)","Community",0,"Time-bound (non-urgent)","Reduction in disability","15.35","BDT","2011.0","Bangladesh","5.8896276E7","1.0","NA","1.0","NA","None","5.8896276E7","0.39","0.8",31,74.1524,"Bangladesh","2011.0",53,111.39516515524,152.529140322278,1.36926176382713,1.17315521153989,78.4680916666667,1287.265014,794.4947062,0.617195913474892,0.0728550896416193,0.11572384415436,0.188578933795979
"32","C27.1","Provision of iron and folic acid supplementation to pregnant women, and provision of food or caloric supplementation to pregnant women in food insecure households","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","4.235","USD","2005.0","Peru","4.0367692E7","1.0","Fertility, LI","1.0","NA","Fertility","40367692","0.39","0.8",32,3.29584166666667,"Peru","2005.0",47,87.1253772370504,121.99696310584,1.40024602446095,1.54597918198005,3.37506158720665,6567.73998,794.4947062,0.12096926927975,1.96416655070565,0.490360521239368,2.45452707194502
"33","C27.2","Provision of iron and folic acid supplementation to pregnant women, and provision of food or caloric supplementation to pregnant women in food insecure households","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","25.0","PPP","2010.0","Bangladesh","4.0367692E7","1.0","Fertility, LI","0.185421843957391","LBW","Both","7485051.887","0.39","0.8",33,69.6492916666667,"Bangladesh","2010.0",52,100,152.529140322278,1.52529140322278,1.21232662515201,78.4680916666667,1287.265014,794.4947062,0.617195913474892,0.130546190364081,0.209952389771566,0.340498580135647
"34","C28","Community-based HIV testing and counseling (for example, mobile units and venue-based testing), with appropriate referral or linkage to care and immediate initiation of lifelong ART","Community",1,"Time-bound (non-urgent)","Mortality reduction: age 5+; group I causes","20.83","USD","2007.0","Kenya","1.22946252E8","0.5","Not attending health facilities","0.5","Non-homebased","Population","30736563","0.16","0.8",34,67.3176381242857,"Kenya","2007.0",49,69.7546612757899,159.647316938312,2.28869747223218,1.4246097187023,101.504369498594,1371.233332,794.4947062,0.579401541414689,8.90238613217067,12.8232904248937,21.7256765570643
