"","Code","Intervention","Platform","HPP","Urgency","Objective","Original Unit Cost","Original Currency","Year","Country","Base population","Multiplier","Multiplier type","Multiplier2","Multiplier2 type","Multipliers","PIN","Coverage","Target Coverage","ID","exchange","country","year","n","cpi_study","cpi_end","cpi_adjust","global_inflation","exchange_end","gni","gni_selected_country","gni_adjust","tradable_uc","nontradable_uc","adjusted_uc"
"1","C1","Antenatal and postpartum education on family planning","Community",0,"Time-bound (non-urgent)","Non-health outcomes","17.535","BDT","2011.0","Bangladesh","8.5725346E7","1.0","Fertility, LMI","1.0","NA","Fertility","85725346","0.5","0.8",1,74.1524,"Bangladesh","2011.0",53,111.39516515524,152.529140322278,1.36926176382713,1.17315521153989,78.4680916666667,1287.265014,2524.623902,1.96123088450534,0.0832256675482602,0.420074117765309,0.503299785313569
"2","C10","Education on handwashing and safe disposal of children's stools","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","1.45","USD","1999.0","Burkina Faso","5.8334371E7","1.0","Fertility, LMI","1.0","NA","Fertility","58334371","0.4869","0.8",2,615.699131973806,"Burkina Faso","1999.0",41,75.1438395576924,107.733167082294,1.43369260496173,1.87791667591526,593.008170424934,628.457986,2524.623902,4.01717212326108,0.816893754023138,6.06946472797048,6.88635848199362
"3","C11","Pneumococcus vaccination","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","10.5","USD","2016.0","LMIC","5.8334371E7","1.0","Fertility, LMI","1.0","NA","Fertility","58334371","0.72507","0.8",3,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,10.648253611253,0,10.648253611253
"4","C12","Rotavirus vaccination","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","10.5","USD","2016.0","LMIC","5.8334371E7","1.0","Fertility, LMI","1.0","NA","Fertility","58334371","0.54339","0.8",4,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,10.648253611253,0,10.648253611253
"5","C13","Provision of cotrimoxazole to children born to HIV-positive mothers","Health center",1,"Time-bound (non-urgent)","Mortality reduction; under-5","9.14","USD","2006.0","Zambia","342700.0","1.0","NA","1.0","NA","None","342700","0.4849","0.8",5,3.60307204258249,"Zambia","2006.0",48,65.3199255059111,169.781989060935,2.59923733448794,1.48518345750596,10.313053230894,1862.341735,2524.623902,1.35561795912822,4.07237304048133,7.87613537780396,11.9485084182853
"6","C14.1","Provision of vitamin A and zinc supplementation to children according to WHO guidelines, and provision of food supplementation to women and children in food insecure households","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.15","PPP","2000.0","LIC","2.90973271E8","1.0","NA","1.0","NA","None","290973271","0.65","0.8",6,549.95209685,"LIC","2000.0",42,47.4002428787547,161.750026041123,3.41243032139865,1.82181393180112,593.0081704,794.4947062,2524.623902,3.17764722948887,0.000149070487049003,0.00191998615074175,0.00206905663779075
"7","C14.2","Provision of vitamin A and zinc supplementation to children according to WHO guidelines, and provision of food supplementation to women and children in food insecure households","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","6.04","USD","2005.0","Peru","2.90973271E8","0.2404","Prop underweight","1.0","NA","Population","69949974.35","0.0","0.8",7,3.29584166666667,"Peru","2005.0",47,87.1253772370504,121.99696310584,1.40024602446095,1.54597918198005,3.37506158720665,6567.73998,2524.623902,0.38439766338009,2.80131427774785,2.22231032365351,5.02362460140136
"8","C15","Mass social marketing of insecticide treated nets","Community",0,"Time-bound (non-urgent)","Mortality reduction; under-5","0.4033","USD","2012.0","Tanzania","2.671721029E9","0.889726419","Malaria endemic","1.0","NA","Population","2377100784","0.49","0.8",8,1571.69799856913,"Tanzania","2012.0",54,130.722757255987,166.198224024889,1.27137942553822,1.1191837358014,2177.08595381578,1030.71271,2524.623902,2.4493963036509,0.135410040194612,0.634678846139091,0.770088886333703
"9","C16.1","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.1","USD","2016.0","LMIC","5.8334371E7","1.0","Fertility, LMI","1.0","NA","Fertility","58334371","0.84","0.8",9,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,0.10141193915479,0,0.10141193915479
"10","C16.2","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.29","USD","2016.0","LMIC","5.8334371E7","1.0","Fertility, LMI","1.0","NA","Fertility","58334371","0.82","0.8",10,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,0.294094623548891,0,0.294094623548891
"11","C16.3","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.49","USD","2016.0","LMIC","5.9505746E7","1.0","Fertility, LMI","1.0","NA","Fertility","59505746","0.54","0.8",11,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,0.496918501858472,0,0.496918501858472
