"","Code","Intervention","HPP","Include","Platform","Urgency","Objective","PIN","Coverage","adjusted_uc"
"1","C1","Antenatal and postpartum education on family planning",0,FALSE,"Community","Time-bound (non-urgent)","Non-health outcomes","85725346","0.5",0.503299785313569
"2","C10","Education on handwashing and safe disposal of children's stools",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","58334371","0.4869",6.88635848199362
"3","C11","Pneumococcus vaccination",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","58334371","0.72507",10.648253611253
"4","C12","Rotavirus vaccination",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","58334371","0.54339",10.648253611253
"5","C13","Provision of cotrimoxazole to children born to HIV-positive mothers",1,TRUE,"Health center","Time-bound (non-urgent)","Mortality reduction; under-5","342700","0.4849",11.9485084182853
"6","C14.1","Provision of vitamin A and zinc supplementation to children according to WHO guidelines, and provision of food supplementation to women and children in food insecure households",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","290973271","0.65",0.00206905663779075
"7","C14.2","Provision of vitamin A and zinc supplementation to children according to WHO guidelines, and provision of food supplementation to women and children in food insecure households",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","69949974.35","0.0",5.02362460140136
"8","C15","Mass social marketing of insecticide treated nets",0,FALSE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","2377100784","0.49",0.770088886333703
"9","C16.1","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","58334371","0.84",0.10141193915479
"10","C16.2","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","58334371","0.82",0.294094623548891
"11","C16.3","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","59505746","0.54",0.496918501858472
"12","C16.4","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","58334371","0.81",6.1861282884422
"13","C16.5","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","58334371","0.8",0.344800593126287
"14","C16.6","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","58334371","0.73",0.10141193915479
"15","C16.7","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","57866881","0.81",0.791013125407363
