"","Code","Platform","Urgency","Objective","HPP","Intervention","LIC.Unit.Price","LIC.PIN","LIC.Coverage","LIC.Target","LMIC.Unit.Price","LMIC.PIN","LMIC.Coverage","LMIC.Target"
"1","C1","Community","Time-bound (non-urgent)","Non-health outcomes",0,"Antenatal and postpartum education on family planning",0.215422254339576,"40367692","0.39","0.8",0.503299785313569,"85725346","0.5","0.8"
"2","C10","Community","Time-bound (non-urgent)","Mortality reduction; under-5",1,"Education on handwashing and safe disposal of children's stools",2.72694363987745,"28199878","0.3822","0.8",6.88635848199362,"58334371","0.4869","0.8"
"3","C11","Community","Time-bound (non-urgent)","Mortality reduction; under-5",1,"Pneumococcus vaccination",10.648253611253,"28199878","0.70706","0.8",10.648253611253,"58334371","0.72507","0.8"
"4","C12","Community","Time-bound (non-urgent)","Mortality reduction; under-5",1,"Rotavirus vaccination",10.648253611253,"28199878","0.58822","0.8",10.648253611253,"58334371","0.54339","0.8"
"5","C13","Health center","Time-bound (non-urgent)","Mortality reduction; under-5",1,"Provision of cotrimoxazole to children born to HIV-positive mothers",6.55097900552134,"416192","0.7489","0.8",11.9485084182853,"342700","0.4849","0.8"
"6","C14.1","Community","Time-bound (non-urgent)","Mortality reduction; under-5",1,"Provision of vitamin A and zinc supplementation to children according to WHO guidelines, and provision of food supplementation to women and children in food insecure households",0.000753286755275412,"128473703","0.84","0.8",0.00206905663779075,"290973271","0.65","0.8"
"7","C14.2","Community","Time-bound (non-urgent)","Mortality reduction; under-5",1,"Provision of vitamin A and zinc supplementation to children according to WHO guidelines, and provision of food supplementation to women and children in food insecure households",3.50067143200659,"27750319.85","0.0","0.8",5.02362460140136,"69949974.35","0.0","0.8"
"8","C15","Community","Time-bound (non-urgent)","Mortality reduction; under-5",0,"Mass social marketing of insecticide treated nets",0.335142357945057,"862847277.1","0.19","0.8",0.770088886333703,"2377100784","0.49","0.8"
"9","C16.1","Community","Time-bound (non-urgent)","Mortality reduction; under-5",1,"Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",0.10141193915479,"28199878","0.83","0.8",0.10141193915479,"58334371","0.84","0.8"
"10","C16.2","Community","Time-bound (non-urgent)","Mortality reduction; under-5",1,"Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",0.294094623548891,"28199878","0.8","0.8",0.294094623548891,"58334371","0.82","0.8"
"11","C16.3","Community","Time-bound (non-urgent)","Mortality reduction; under-5",1,"Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",0.365082980957245,"27014418","0.59","0.8",0.496918501858472,"59505746","0.54","0.8"
"12","C16.4","Community","Time-bound (non-urgent)","Mortality reduction; under-5",1,"Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",6.1861282884422,"28199878","0.8","0.8",6.1861282884422,"58334371","0.81","0.8"
"13","C16.5","Community","Time-bound (non-urgent)","Mortality reduction; under-5",1,"Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",0.344800593126287,"28199878","0.78","0.8",0.344800593126287,"58334371","0.8","0.8"
"14","C16.6","Community","Time-bound (non-urgent)","Mortality reduction; under-5",1,"Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",0.10141193915479,"28199878","0.71","0.8",0.10141193915479,"58334371","0.73","0.8"
"15","C16.7","Community","Time-bound (non-urgent)","Mortality reduction; under-5",1,"Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",0.760589543660926,"25364821","0.8","0.8",0.791013125407363,"57866881","0.81","0.8"
"16","C16.8","Community","Time-bound (non-urgent)","Mortality reduction; under-5",1,"Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",0.273812235717933,"23307013","0.8","0.8",0.30423581746437,"55016713","0.81","0.8"
"17","C17","Community","Time-bound (non-urgent)","Mortality reduction; under-5",1,"In high malaria transmission settings, indoor residual spraying (IRS) in selected areas with high transmission and entomologic data on IRS suspectibility",0.560722800187662,"862847277.1","0.59","0.8",1.2480352203466,"2377100784","0.5","0.8"
"18","C18","Community","Time-bound (non-urgent)","Reduction in disability",0,"Education of schoolchildren on oral health",0.632668565002553,"1.25725951E8","0.33","0.8",0.662795639526484,"3.31516343E8","0.33","0.8"
"19","C19","Community","Time-bound (non-urgent)","Reduction in disability",0,"Vision prescreening by teachers; vision tests and provision of ready-made glasses on-site by eye specialists",0.753176863098278,"1.25725951E8","0.33","0.8",0.793346295796853,"3.31516343E8","0.33","0.8"
"20","C2","Community","Time-bound (non-urgent)","Mortality reduction; under-5",1,"Counseling of mothers on providing thermal care for preterm newborns (delayed bath and skin-to-skin contact)",0.102950584052788,"2413827.0","0.2734","0.8",0.240527641912045,"3156179.0","0.3755","0.8"
"21","C20","Community","Time-bound (non-urgent)","Reduction in disability",1,"School-based education on sexual health, nutrition, and healthy lifestyle",3.77592667366603,"6.3237939E7","0.33","0.8",3.97677383715891,"3.03387269E8","0.33","0.8"
"22","C21.1","Community","Time-bound (non-urgent)","Reduction in disability",1,"Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections",0.272381459044994,"277383324","0.77","0.8",0.573069705311627,"810555156","0.77","0.8"
"23","C21.2","Community","Time-bound (non-urgent)","Reduction in disability",1,"Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections",0.221243921090372,"95031139","0.78","0.8",0.399342090145187,"74789314","0.99","0.8"
"24","C21.3","Community","Time-bound (non-urgent)","Reduction in disability",1,"Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections",0.335296962071955,"132632285","0.52","0.8",0.701416674731366,"49391247","0.52","0.8"
"25","C21.4","Community","Time-bound (non-urgent)","Reduction in disability",1,"Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections",1.08180717951518,"293848855","0.0","0.8",2.26306134677479,"479039515","0.0","0.8"
"26","C21.5","Community","Time-bound (non-urgent)","Reduction in disability",1,"Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections",0.42219126151974,"141276903","0.75","0.8",0.888258043233022,"91138670","0.75","0.8"
"27","C22","Community","Time-bound (non-urgent)","Mortality reduction: age 5+; group II-III causes",0,"School based HPV vaccination for girls",9.17871537162435,"8429081","0.0","0.8",14.2099368171208,"2.2113422E7","0.0","0.8"
"28","C23","Community","Time-bound (non-urgent)","Reduction in disability",0,"Adolescent-friendly health services including: provision of condoms to prevent STIs; provision of reversible contraception; treatment of injury in general and abuse in particular; and screening and treatment for STIs",5.24211096716401,"1.00492529E8","0.3333333333","0.8",5.52329699605404,"3.60097478E8","0.3333333333","0.8"
"29","C24","Community","Time-bound (non-urgent)","Non-health outcomes",0,"Life skills training in schools to build social and emotional competencies",3.77592667366603,"6.3237939E7","0.3333333333","0.8",3.97677383715891,"3.03387269E8","0.3333333333","0.8"
"30","C25","Community","Time-bound (non-urgent)","Reduction in disability",0,"Education campaigns for the prevention of gender-based violence",0.188578933795979,"4.4339054E7","0.39","0.8",0.440584642404521,"1.36568388E8","0.5","0.8"
"31","C26","Community","Time-bound (non-urgent)","Reduction in disability",0,"In countries where it is a public health concern, prevention of FGM (may be for daughters of women of reproductive age)",0.188578933795979,"5.8896276E7","0.39","0.8",0.440584642404521,"1.71715047E8","0.5","0.8"
